,写字楼名称,所在市区,租金,竣工时间,纬度,经度,geometry
0,森兰美奂大厦(国企楼盘VR看房)(租售中),上海市浦东区,3-6.6元/m2/天,2019年9月30号,31.313477,121.591477,POINT (121.591477 31.313477)
1,湾谷科技园（VR看房）,上海市杨浦区,2.3-5.5元/m2/天,2014年,31.34077,121.505673,POINT (121.505673 31.34077)
2,昇PARK创意园,上海市宝山区,2.3-3.9元/m2/天,2017年6月,31.295881,121.409597,POINT (121.409597 31.295881)
3,万金中心（租售中）,上海市闵行区,4.3-5.93元/m2/天,2021年,31.159502,121.355313,POINT (121.355313 31.159502)
4,盛大天地源创谷（VR看房）,上海市浦东区,3.8-4.9元/m2/天,,31.171835,121.606207,POINT (121.606207 31.171835)
5,上海长宁国际发展广场,上海市长宁区,7-10元/m2/天,2019年,31.20002,121.420981,POINT (121.420981 31.20002)
6,浦发大厦,上海市浦东区,8.5-12元/m2/天,,31.234419,121.512014,POINT (121.512014 31.234419)
7,天会商务广场（VR看房）,上海市长宁区,5-5.8元/m2/天,2014年11月1日,31.220708,121.353906,POINT (121.353906 31.220708)
8,星荟中心(VR看房),上海市虹口区,7.2-12元/m2/天,2016年,31.244868,121.486561,POINT (121.486561 31.244868)
9,环球港(VR看房),上海市普陀区,6.5-9.8元/m2/天,,31.232633,121.412301,POINT (121.412301 31.232633)
10,吉汇大厦(VR看房),上海市虹口区,5.6-9元/m2/天,2015年7月28号,31.252145,121.487438,POINT (121.487438 31.252145)
11,嘉宁国际大厦（VR看房）,上海市长宁区,7.5-8.8元/m2/天,,31.21717,121.436647,POINT (121.436647 31.21717)
12,星光耀广场（租售中）,上海市普陀区,4.5-5.5元/m2/天,2019年,31.256141,121.407274,POINT (121.407274 31.256141)
13,浦江国际金融广场（VR看房）,上海市虹口区,6.2-10.5元/m2/天,2014年,31.250157,121.510621,POINT (121.510621 31.250157)
14,外滩金融中心BFC(VR看房),上海市黄浦区,11-20.6元/m2/天,,31.227001,121.497278,POINT (121.497278 31.227001)
15,虹桥嘉汇（VR看房）,上海市长宁区,4.3-5.5元/m2/天,2017年9月,31.206206,121.317945,POINT (121.317945 31.206206)
16,虹桥汇（租售中）（VR看房）,上海市长宁区,6-8.1元/m2/天,2017年,31.198316,121.314787,POINT (121.314787 31.198316)
17,万象城（国企楼盘VR看房）,上海市闵行区,4.6-6.7元/m2/天,2015年7月,31.169585,121.369888,POINT (121.369888 31.169585)
18,浦江科技广场（VR看房）（部分国企楼盘）,上海市闵行区,2.8-4元/m2/天,,31.096105,121.508001,POINT (121.508001 31.096105)
19,上海军弘谷科创园（VR看房）（国企楼盘）,上海市杨浦区,3-3.5元/m2/天,,31.296312,121.489511,POINT (121.489511 31.296312)
20,上海环普云创国际科技园（VR看房）,上海市闵行区,1.7-2.2元/m2/天,2017年12月,31.08102,121.522685,POINT (121.522685 31.08102)
21,虹桥万科中心（VR看房）,上海市长宁区,7-9元/m2/天,2016年3月,31.196806,121.314989,POINT (121.314989 31.196806)
22,东方万国企业中心（VR看房）,上海市浦东区,4-4.8元/m2/天,,31.255884,121.62072,POINT (121.62072 31.255884)
23,上海世茂大厦（VR看房）,上海市浦东区,8-9.5元/m2/天,2017年,31.221927,121.515927,POINT (121.515927 31.221927)
24,恒汇国际大厦（VR看房）,上海市闸北区,5.5-6.6元/m2/天,2010年7月,31.245543,121.453015,POINT (121.453015 31.245543)
25,中海国际中心(VR看房),上海市黄浦区,8-12元/m2/天,2017年,31.211264,121.477151,POINT (121.477151 31.211264)
26,普洛斯盛银大厦（VR看房）,上海市浦东区,4.5-5.2元/m2/天,2012年,31.205358,121.629156,POINT (121.629156 31.205358)
27,阳光滨江中心,上海市徐汇区,5-7.8元/m2/天,2020年7月,31.179838,121.459408,POINT (121.459408 31.179838)
28,普洛斯大厦（VR看房）,上海市浦东区,7.5-9元/m2/天,2017年10月,31.241608,121.555617,POINT (121.555617 31.241608)
29,环智国际大厦（VR看房）,上海市闸北区,6.8-7.5元/m2/天,2012年,31.243679,121.455005,POINT (121.455005 31.243679)
30,上海环球都会广场（VR看房）,上海市浦东区,6-8.5元/m2/天,2017年12月,31.168923,121.473843,POINT (121.473843 31.168923)
31,东方维京大厦（VR看房）,上海市长宁区,6.5-15元/m2/天,2008年,31.206096,121.399259,POINT (121.399259 31.206096)
32,中骏广场二期,上海市长宁区,4.3-5.5元/m2/天,2017年10月,31.212621,121.31466,POINT (121.31466 31.212621)
33,中骏·天悦中心,上海市普陀区,4.3-4.9元/m2/天,2019年6月,31.253792,121.403063,POINT (121.403063 31.253792)
34,浦东软件园三林园（国企楼盘VR看房）,上海市浦东区,3.6元/m2/天,2019年5月,31.11869,121.524079,POINT (121.524079 31.11869)
35,双狮汇(原一方大厦)(VR看房),上海市虹口区,6.2-9元/m2/天,2017年6月,31.248964,121.497326,POINT (121.497326 31.248964)
36,恒基688广场(VR看房),上海市静安区,8.42-11元/m2/天,2014年,31.231162,121.465049,POINT (121.465049 31.231162)
37,九洲中心（VR看房）,上海市浦东区,3.7-4.8元/m2/天,2018年2月,31.194253,121.623839,POINT (121.623839 31.194253)
38,星汇广场（VR看房）（国企楼盘）,上海市杨浦区,2.1-4.25元/m2/天,2014年,31.319859,121.505303,POINT (121.505303 31.319859)
39,虹桥万创中心,上海市闵行区,4-5.8元/m2/天,2021年,31.159324,121.35544,POINT (121.35544 31.159324)
40,恒基名人商业大厦(VR看房),上海市黄浦区,8.4-10元/m2/天,2010年,31.2373,121.484595,POINT (121.484595 31.2373)
41,南苏55（VR看房）,上海市闸北区,3.8-7.3元/m2/天,,31.239642,121.461606,POINT (121.461606 31.239642)
42,泰德科技园,上海市宝山区,2-4.3元/m2/天,,31.352771,121.433887,POINT (121.433887 31.352771)
43,多媒体大厦（VR看房）,上海市闸北区,3.8-4元/m2/天,,31.277363,121.440337,POINT (121.440337 31.277363)
44,虹梅国际广场（VR看房）,上海市徐汇区,4.5-5.6元/m2/天,2017年,31.169558,121.416621,POINT (121.416621 31.169558)
45,弘源创新中心(VR看房),上海市杨浦区,4.2-6元/m2/天,2012年,31.305156,121.510737,POINT (121.510737 31.305156)
